MMT,201203031137312841,"Country Inn & Suites By Carlson - Gurgaon, Udyog Vihar","New Delhi And NCR","Adjacent to Plot No 406, Udyog Vihar Phase III, Udyog Vihar Phase III, Gurgaon, New Delhi And NCR, India",4075,4.5,5,"Splendid Weekend Deal Get 25&#037; Off &#033;&#033; | Stay for min 5 nights &amp; get 20&#037; off with Complimentary Buffet and Wifi &#033;&#033;&#033; 15&#037; Disc on Laundry&#044; Food &amp; S&#046;Bev and Telephones&#046;",0
MMT,201009131752175161,"Hotel Grand Godwin","New Delhi And NCR","8502 / 41, ARAKASHAN ROAD, RAM NAGAR, PAHARGANJ, Pahar Ganj, New Delhi Railway Station, New Delhi And NCR, India",1505,4,3,"Last Minute Booking  Offer 30 &#037; Discount",1
MMT,201203031707204560,"The Pllazio Hotel - Gurgaon","New Delhi And NCR","Plot No. 292-296, Sec 29,City Centre, Sector 29,Gurgaon, New Delhi And NCR, India",11119,3.9,4,,1
MMT,201301031456007206,"Red Fox Hotel, Delhi Airport","New Delhi And NCR","Hospitality District, Aerocity wing, International Airport, International Airport, New Delhi And NCR, India",2924,4.1,3,"Stay for min 3 nights &amp; get 15&#037; off &#033;&#033;&#033; | PAN card will not be accepted as Identity Proof &#033;&#033;",1
MMT,201009291735488502,"Hotel TE New Delhi","New Delhi And NCR","A-3 Pamposh Enclave, GK 1, GK-1, South Delhi, New Delhi And NCR, India",2893,3.3,4,"Last Minute Deal&#046;&#046; Book Within 4 Days And Save 35&#037;",1
MMT,201206051213402695,"Radisson Blu Greater Noida","New Delhi And NCR","C-8, Site 4, 2nd Cross Avenue Road,, Kasna, New Delhi And NCR, India",4289,3.8,5,"Splendid Weekend Deal Get 20&#037; Off &#033;&#033;",1
MMT,201012311433468016,"Mahagun Sarovar Portico Suites","New Delhi And NCR","Mahagun Metro Mall, VC 3, Sector 3, Vaishali, Ghaziabad, Ghaziabad, New Delhi And NCR, India",2960,4.1,4,"Weekend Special&#046;&#046;&#033;&#033; Get 15&#037; off on Fri&#044; Sat&#044; Sun&#046;&#046;&#033;&#033;",0
MMT,201004011443288188,"Country Inn and Suites by Carlson, Sahibabad","New Delhi And NCR","64/6 Site IV, Industrial Area, Sahibabad, East Delhi, New Delhi And NCR, India",3201,4.1,5,"Splendid Weekend Deal Get 20&#037; Off &#033;&#033; | Zach Johnson Campaign &#045; 11&#037; off &#033;&#033;&#033;",1
MMT,201011121301464911,"Hotel O Delhi ","New Delhi And NCR","8/32,WEA,Near Mandakini Palace,, Karol Bagh, New Delhi And NCR, India",1260,3.5,3,"Last Minute Purchase 30&#037; discount each night",1
MMT,201104161331017446,"Hotel Classic Diplomat","New Delhi And NCR","A-4,Mahipalpur,NH-8, Mahipalpur, International Airport Zone , New Delhi And NCR, India",3056,3.9,3,"Stay for 2 Nights and Save&#033;&#033;&#033;",1
